id,title,sub_title,status,thumb,summary,authors,genres,nsfw,type,total_chapter,create_at,update_at
65a52ea8f64a55128b487e1b, A World of Gold to You,,ongoing,https://usc1.contabostorage.com/scraper/mangas/65a52ea8f64a55128b487e1b/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240410%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20240410T154508Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=a4b129c7dba39ce8f12a31c6aad2f9e035900d63b7c810e06e2b2685d234d547,"Once upon a time, the world had been divided into the Moon Kingdom, inhabited by humans, and the Sun Kingdom, inhabited by demons. Estelle, a knight of the Moon Kingdom, loses her family to an ambush from the demons and is sentenced to life in exile after becoming entangled with a mysterious demon child. To survive, she sets out to a mysterious tower in the north with her companions. A timid knight, a slave boy, and a shadow who was once the Demon King. This is an alluring story about three people embarking on an adventure to find their true selves.

",[''],"['Action', 'Fantasy', 'Manga', 'Adventure', 'Seinen', 'Manhwa', 'Mature']",True,korea,0,1705324200839,1705324333619
65b65c32bf13b1bd72cec0c7," Demon X Angel, Can’t Get Along!",恶魔X天使 不能友好相处,ongoing,https://usc1.contabostorage.com/scraper/mangas/65b65c32bf13b1bd72cec0c7/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240410%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20240410T154508Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=3a0bb134d2b371c1acb063dccb83699fb15d95a31ead96eb19f00f91b875ff7d,"Demons and angels are two opposite races. As the times change, they are tired of fighting. In order to coexist peacefully, they decided to start a marriage plan! The plan has a one-year observation period. If the devil and angel still cannot get along well, the marriage will be cancelled. As a result, Jiacheng devil and Yu Shanshan angel were “luckily” selected by lottery as marriage partners, and started a “happy” cohabitation life with the destination of divorce~
",[''],"['Fantasy', 'Romance', 'Comedy']",False,china,118,1706449970558,1712598444425
65a8ec9ef64a55128b4ad931, HOLY EMPEROR’S GRANDSON IS A NECROMANCER,Grandson of the Holy Emperor is a Necromancer,ongoing,https://usc1.contabostorage.com/scraper/mangas/65a8ec9ef64a55128b4ad931/thumb.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240410%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20240410T154508Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=3789e3f4fdb06cc58b3d54ff7dd79230c65b6c38eeeeacb59adf00f7c3614826,"Our MC dies from an accidental electrocution and ends up inhabiting the body of a young prince in another world, his new profession being the Necromancer he chose in the game he was playing before his untimely demise. However, things are not what they seem – including his own Necromancy skills!

",[''],"['Action', 'Fantasy', 'Manhwa', 'Magic', 'Reincarnation']",True,korea,40,1705569438224,1712598296933
65a783dff64a55128b49fea5, I Took Over the Demonic Sect Master,"拿魔头剧本的我修为全无，还被女徒弟追杀？！ • Na Mo Tou Ju Ben De Wo Xiu Wei Quan Wu, Hai Bei Nv Tu Di Zhui Sha?! • Ná Mó Tóu Jù Běn De Wǒ Xiū Wèi Quán Wú, Hái Bèi Nǚ Tú Dì",ongoing,https://usc1.contabostorage.com/scraper/mangas/65a783dff64a55128b49fea5/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240410%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20240410T154508Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=7b90e1a0285a7c184f2fe768dd08b35c17b9009468a486879c78c537098fbcdd,"Once Wang Bai awakes, he realises he’s somehow crossed over into a fantasy world, and that he’s even lying in a coffin! After receiving a portion of his memories, he realises that this body is the sect master of the Demon Sect, who has committed unthinkable crimes and made millions of enemies. Worst of all… he has lost all of his cultivation, and his previous disciples who harbour ill intent towards him have all become big shots Σ(っ °Д °;) the Ruler of the Palace of Five Poisons, the Lord of the Temple of the Demon God, the Leader of the righteous Way… should I just lie back down in the coffin and never get out?
",['びーびーびーといっと!  天神学園浪漫あるばむ'],"['Action', 'Fantasy', 'Harem', 'Shounen', 'Drama', 'Comedy', 'Martial Arts', 'Manhua', 'Isekai', 'Reincarnation']",True,china,0,1705477087265,1705477381599
65a1cc06f64a55128b454189, I’m Actually A Peerless Powerhouse,我竟是绝世高手,ongoing,https://usc1.contabostorage.com/scraper/mangas/65a1cc06f64a55128b454189/thumb.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240410%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20240410T154508Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=73ef4e9626d25e8cd05da3f345b8557522344164560fc2e32fdb608e1ee78d8d,"Jiang Chen transmigrated to the world of immortals, but he did not have any talent for cultivation and was destined to be a mortal. The one at the door? Oh,it’s just Jiang Chen’s legendary golden-winged bird.
","['Boom工作室', '愛のチカラで恋をするのだ']","['Action', 'Fantasy', 'Harem', 'Drama', 'Comedy', 'Mystery', 'Manhua']",False,china,0,1705102342311,1705103116893
65a26394f64a55128b45ea02," Transferred to another world, but I'm saving the world of an Otome game!?","Isekai Tensei, Ore ga Otome ge de Kyuuseishu,異世界転送、俺が乙女ゲーで救世主?!",ongoing,https://usc1.contabostorage.com/scraper/mangas/65a26394f64a55128b45ea02/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240410%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20240410T154508Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=6323002107543b4ed9a737b4170f9f23543029a998dcc3252a2bcedf65ba27b8,"A two-part oneshot about a guy accidentally transported to an Otome game by his sister. To get out, he needs to clear a love route but he tries his best to find another way.
","['Tomo Takenagi', 'Yuu Tsujimoto']","['Fantasy', 'Shounen', 'Comedy', 'Isekai']",False,japan,0,1705141140168,1705141739490
65b74106bf13b1bd72cf0bc3, yigret,,ongoing,https://usc1.contabostorage.com/scraper/mangas/65b74106bf13b1bd72cf0bc3/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240410%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20240410T154508Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=da173c6508f9d9da6f35181639c8a89075de560cc3c12359f9d479942b5d0227,"Ygret, a great sage that knows how to use all 4 elements, woke up in a body of prince Judas Lubarjan. ""now I dont want to give up living with people""
",[''],"['Action', 'Fantasy', 'Drama']",False,korea,123,1706508550426,1712598534249
65bc2af4bf13b1bd72d0800f,"100,000 Levels of Body Refining : All the dogs I raise are the Emperor",One hundred thousand layers of body refining: all the dogs I raise are the emperor,ongoing,https://usc1.contabostorage.com/scraper/mangas/65bc2af4bf13b1bd72d0800f/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240410%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20240410T154508Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=f842f30fa024ae36ea2fa2c75a6ab7e3d4da4b394c3a92e3dae0f96281d4ec58,"One hundred thousand layers of body refining: all the dogs I raise are the emperor
",[''],"['Action', 'Harem', 'Martial Arts']",True,japan,334,1706830580131,1712598835860
659fcd34f64a55128b4495cd,9Th Class Sword Master: The Guardian Of The Sword,The Ninth-Rank Sword Master: Conquering the Sword Forms ; 9클래스 소드 마스터 : 검의 구도자,ongoing,https://usc1.contabostorage.com/scraper/mangas/659fcd34f64a55128b4495cd/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240410%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20240410T154508Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=1a39d7d8bf536c1c7970b6447ab8b08b1ac8e8c5410d2cb3e8e747dc740482bb,"In the year 237 of the Imperial Era, the ‘Divine War’ concludes – a war fought to protect humanity from ‘corruption.’ At the end of this battle, the Sword Saint, Kyril McGyver, faces betrayal from his closest friend and Emperor, Oliver.
In the end, after killing the Emperor, Kyril decides to correct all the wrongs by returning to the past.
Now, with a power he could not acquire in his past life – the power of the sword and magic – he stands at the apex of both paths, ready to change the future.
","['ARC', 'Lee Hyeon Seok']","['Action', 'Fantasy', 'Adventure', 'Manhwa']",False,korea,0,1704971572226,1704972045976
65a30e8af64a55128b469450,A Divorced Evil Lady Bakes Cakes, 이혼한 악녀는 케이크를 굽는다,ongoing,https://usc1.contabostorage.com/scraper/mangas/65a30e8af64a55128b469450/thumb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=c10e9464b360c31ce8abea9b266076f6%2F20240410%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20240410T154508Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=77883dd6145c34d2fa3447b8692d0cfcda55dc9f0f381da9ebd2d92ead8885af,"I had been in the position of Duchess for nine years for my quiet and indifferent husband, but all I had left was contempt and indifference, and the only thing I was accused of having a love affair: “There’s a limit to what I can endure for this marriage. No matter how much you cry or plead to the Emperor, I can’t stand it anymore.” “Can I sign here?” “So if you pretend to be poor like last time, this time… what?” I waved divorce papers on an indifferent day. “I’m done. Can I go now?” “Oh, you don’t have to talk about alimony, dowry, just give me back my dowry” “What are you gonna do with that little money?” My husband, who had not cared what he had done for the past nine years, asked me a question in his voice. I laughed confidently and answered: – “I’m going to open a dessert cafe.”
",[''],"['Fantasy', 'Romance', 'Drama', 'Comedy', 'Manhwa', 'Historical', 'Cooking']",False,korea,66,1705184906696,1710483109283
